Org ID,Organisation,Operation Area,Org Type,Org Website,Volunteer URL,Donate URL,IG URL,FB URL,Events URL 1,Events URL 2,Locally-owned,Parent,Description
ORG013,Napier Drop In ,Folkestone,,,,,https://www.instagram.com/napierdropin1,,,,TRUE,,We are a collective of grassroots volunteers and charities who run a weekly drop-in centre for asylum seekers housed at Napier Barracks.
ORG014,New Folkestone Society,Folkestone,Registered Charity,https://www.newfolkestonesociety.org.uk/,,https://www.newfolkestonesociety.org.uk/society-membership/,https://www.instagram.com/newfolkestonesociety,https://www.facebook.com/newfolkestonesociety/,https://www.newfolkestonesociety.org.uk/events/,,TRUE,,The New Folkestone Society exists to foster an awareness of our local environment and amenities and to encourage their conservation and enhancement. It is a non-political organisation with membership open to everyone who shares our desire to make Folkestone a more attractive town in which to live and work.
ORG015,Kent Food Hubs,Folkestone,Community Interest Compamy,https://www.kentfoodhubs.co.uk/,,,https://www.instagram.com/kentfoodhubscic,https://www.facebook.com/KentFoodHubsCIC,https://www.kentfoodhubs.co.uk/events.html,,FALSE,,"Kent Food Hubs exists to make local, sustainable food more accessible and affordable. We connect communities with independent producers across Kent, supporting a fairer food system and a low-carbon future."
ORG016,Folkestone Stands With Palestine,Folkestone,Community Group,,,https://buymeacoffee.com/fswp,https://www.instagram.com/folkestonestandswithpalestine,,,,TRUE,,Residents of Folkestone taking action in solidarity with the people of Palestine
ORG017,Odd Socks Folkestone,Folkestone,Community Interest Company,https://kirstynbrook.com/blogs/news/odd-socks-folkestone-cic-clothes-swap,,https://buymeacoffee.com/5cravlom90,https://www.instagram.com/oddsocksfolkestone,,,,TRUE,,We put on free events in Folkestone for absolutely Everyone.
ORG018,Sunday Assembly Folkestone,Folkestone,Community Group,,,,https://www.instagram.com/sundayassemblyfolkestone,https://www.facebook.com/people/Sunday-Assembly-Folkestone/61552229396369/,,,TRUE,Sunday Assembly,Sunday Assembly Folkestone is a non-religious community open to everyone!
ORG019,Little Library Folkestone,Folkestone,Community Group,,,,https://www.instagram.com/littlelibraryfolkestone,,,,TRUE,Free Little Library,Free Little Library near Folkestone West on Audley Road
ORG020,Rainbow Centre,Folkestone,Registered Charity,https://www.rainbow-centre.org/,https://www.rainbow-centre.org/get-involved/how-to-volunteer/,https://www.rainbow-centre.org/get-involved/ways-to-donate/,https://www.instagram.com/rainbowcentre01,,,,TRUE,,"The Rainbow Centre is a Christian charity that delivers a range of services in the Folkestone and Hythe district, supporting and empowering individuals and families experiencing deprivation or hardship, in order that they may have a future with stability, dignity and hope."
ORG021,Fourth Wall Folkestone,Folkestone,Community Interest Company,https://fourthwallfolkestone.co.uk/,,,https://www.instagram.com/fourthwallfolkestone?igsh=MTg2d2czcHcwYTY3aw==,,https://fourthwallfolkestone.co.uk/events/,,TRUE,,"Fourth Wall is a conduit between our community and the healthcare system.

Creative processes, and gentle disruptive activism, are used as tools to solve problems and create change.

People with lived experience are empowered to use their voice to influence systemic change resulting in a person centred approach to healthcare."
ORG022,The Locavore Project,Hythe,Private Company,https://www.thelocavoreproject.co.uk/,,,https://www.instagram.com/restorationgarden.pf?igsh=MnhtdjJ0cm9kaWI2,,,,TRUE,,"We are currently developing a Community Garden project with a focus on permaculture design. Our mission is to become a local destination that can be utilised as a wellbeing space in the realm of social prescribing and ecotherapy.  Our project is open to all and will weave community food growing and nature-based activities that are informed by the principles and values of Social and Therapeutic Horticulture, to support specific groups who have a defined need of living with mental ill health, dementia and adults/children with SEND. "
ORG023,Hythe Environmental Community Group,Hythe,Community Group,https://hytheenvironmental.community/,,,https://www.instagram.com/hytheecg.1?igsh=MWN1MGtsNzZzZzdkcg==,https://www.facebook.com/groups/1403528403025955/?locale=en_GB,,,TRUE,,"Hythe Environmental CG is all about a community-led approach to making the Hythe area a more fulfilling, sustainable and environmentally aware place to live. We aim to help people reduce their reliance on fossil fuels, reduce excess waste, improve the recycling of what waste they do produce, improve the visual impact of the area and increase their appreciation of the areas flora and fauna.We split our activities up into Sub-Groups with many projects and activities going on"
ORG024,Incredible Edible Cheriton,Cheriton,Community Group,,,,https://www.instagram.com/incredibleediblecheriton?igsh=N21tdWwxd2x2bmZi,,,,TRUE,Incredible Edible,We grow edible plants to share and flowers for pollinators around Cheriton and Folkestone West station. Volunteers very welcome.
ORG025,SD Projects,Folkestone,Private Company,https://sdprojects.uk/,,,https://www.instagram.com/sdprojects.uk?igsh=b3JjYXNpdWo1NG05,,,,FALSE,,"Community-centered studio practice at the intersection of art, architecture, and technology."
ORG026,Pride Folkestone,Folkestone,Registered Charity,https://www.folkestonepride.org/,,https://www.folkestonepride.org/donate,https://www.instagram.com/pridefolkestone?igsh=dzJ4ZGJwZnU1dHFz,https://www.facebook.com/pridefolkestone/,https://www.folkestonepride.org/events,,TRUE,,"Folkestone Pride is a registered charity and an LGBTQIA+ led community organisation dedicated to celebrating and supporting queer life across the Folkestone and Hythe district. What began as a small team organising Folkestone’s annual town-wide Pride Festival has grown into a vibrant year-round movement committed to visibility, inclusion, and joy."
ORG027,Napier Friends,Folkestone,,,,,https://www.instagram.com/napier.friends?igsh=MTlrenYwdDlsZDNzeg==,,,,TRUE,,Helping people seeking asylum to settle into their local community and their new lives in the UK.
ORG028,Sandgate Community Garden,Sandgate,Community Group,https://sandgate-pc.gov.uk/sandgate-community-garden/,,,https://www.instagram.com/sandgatecommunitygarden?igsh=cHNrZmRzaGp6Z2N5,https://www.facebook.com/SandgateCG/,,,TRUE,,"Would you like to be involved in the Sandgate Community Garden? New volunteers are always welcome, and the crops grown are shared by and with the community of gardeners. This is a volunteer project in the Enbrook Park grounds of Saga."
ORG029,Urban Room Folkestone,Folkestone,Private Company,,,,https://www.instagram.com/urbanroomfstone?igsh=MXBxcmpndG84eHliYg==,https://www.facebook.com/urbanroomfstone/,,,TRUE,,"A physical space where people can go to understand, debate and get involved in the past, present and future of where they live, work and play."
ORG030,Community Art Kent,Folkestone,Community Interest Company,https://communityartkent.co.uk/,,,https://www.instagram.com/communityartkent?igsh=amk0bG43em13YXhu,,,,TRUE,,"Community Art Kent CIC delivers a range of accessible arts workshops in community settings, creative events, exhibitions and projects."
ORG031,Hawkinge Community Centre Ltd,Hawkinge,Private Company,http://www.hawkingecommunitycentre.co.uk/,,,https://www.instagram.com/hawkinge_cc/,https://www.facebook.com/hawkingeCC,http://www.hawkingecommunitycentre.co.uk/activities-at-hcc/,,TRUE,,"Hawkinge Community Centre is located right in the heart of Hawkinge and is a facility for the whole community; with a sports hall, gym, two studios, a meeting room, coffee shop and bar."
ORG032,Touchbase Care,Folkestone,Registered Charity,https://www.touchbasecare.org/,https://www.touchbasecare.org/support-touchbase-care-2/volunteer/,https://www.touchbasecare.org/support-touchbase-care-2/,https://www.instagram.com/touchbasecare?igsh=eHZvYnk0bmQ3d3pl,https://www.facebook.com/TouchbaseCare/,,,TRUE,,"At Touchbase Care, our mission is to create an inclusive community where adults with disabilities and neurodiversity can truly flourish. Through creativity, connection, and care, we support each individual to grow in confidence, develop new skills, and live life on their own terms.

We offer holistic, person-centred support that builds skills, confidence, and independence. More than a community, Touchbase Care is a place where everyone’s journey, strengths, and potential are celebrated."
ORG033,Folkestone Women's Forum,Folkestone,Community Group,https://folkestonewomensforum.com/,,,https://www.instagram.com/folkestonewomensforum?igsh=cjY2dHEyNG1qajJj,https://www.facebook.com/folkestonewomensforum/,https://www.eventbrite.co.uk/o/folkestone-womens-forum-64495458903,https://folkestonewomensforum.com/upcoming-events,TRUE,,"Folkestone Women’s Forum is a feminist organization with community, collaboration, and connection at its core. We hold discussions of our interests, work, passions, and experiences. We also support and publicize other events under the FWF umbrella – meet-ups, book discussions, walks, games nights, meals – and encourage you to get involved in organizing these."
ORG034,The Shed Hythe,Hythe,,,,,https://www.instagram.com/the_shed_hythe?igsh=eGczZmNpeWM1c2V5,https://www.facebook.com/TheShedHythe/,,,TRUE,,"Developing skills and opportunities for people with a learning difficulty/disability from across Shepway, Dover and Ashford."
ORG035,Beton Collective,Folkestone,Community Interest Company,https://www.betoncollective.org/,,https://www.betoncollective.org/,https://www.instagram.com/kollectivfolkestone?igsh=MWVlb2g1NWEzam10OA==,https://www.facebook.com/betoncollective/,https://www.betoncollective.org/whats-on,,TRUE,,"Beton (Croatian, Polish) means concrete as in the building material. Beton is strong, resistant, durable, and combines all four elements: water, air, fire, and earth. Beton Collective draws from these qualities in their approach to both artistic and curatorial work."
ORG036,Strange Cargo,Folkestone,Private Company,https://www.strangecargo.org.uk/,,,https://www.instagram.com/strangecargoart?igsh=MXAzMWEydzFzOTl2Mw==,https://www.facebook.com/strangecargoart/,,,TRUE,,"We engage communities in creating high-quality public artworks, exhibitions and festivals"
ORG037,The Beacon Plus,Folkestone,,https://beacon-plus.org.uk/,,,https://www.instagram.com/beaconpluscommunitycafe?igsh=MWI5ZnRwYnp6OWZ1YQ==,,,,TRUE,,"We aim to provide an outstanding and supportive learning environment which allows everyone to achieve their best, with high self-esteem and respect for others in the community, so that they are able to take their place in society with confidence and pride."
